ID,Q1: 您的生理性別 Gender,Q2: 你的出生西元年 your birth year,Q3: 您的星座 constellation    ,Q4: 您是哪個學院的 which college you come from,Q7: 您的性格傾向（依照您自己的觀察判斷）Personality   and  personal characters ,personality,Q8: 您的課外活動/社團活動參與 involvement in after-class extracurricular activities,Q9: 您的學業表現 (過去以來的狀況) your academic performance level in general,Q10: 您的居住狀態 where do you live?,你主要使用的手機廠牌 Brand of your major cellurla phone,這隻手機使用多久How long you have this phone?,手機上網流量 internet connection type,A: 關於手機的一些資訊 some information about cellalur phone usage [S1. FB的朋友數 number of friends you have at FB],A: 關於手機的一些資訊 some information about cellalur phone usage [S2. LINE的好友數 number of friends you have at LINE],A: 關於手機的一些資訊 some information about cellalur phone usage [S3. LINE的群組數 number of groups you are in at LINE],A: 關於手機的一些資訊 some information about cellalur phone usage [S4. IG的粉絲數 number of followers at IG],A: 關於手機的一些資訊 some information about cellalur phone usage [S5. IG的追蹤中人數 number of following at IG],B: 手機使用行為 Cellular phone usage [B1. 每天用手機玩手機遊戲的時間大約幾分鐘 time (minutes) of playing game on the phone per day ],B: 手機使用行為 Cellular phone usage [B2. 每天用手機看影片追劇的時間大約幾分鐘 time (minutes) of watching vedio/film/drama on the phone per day ],B: 手機使用行為 Cellular phone usage [B3: 每天用手機瀏覽新聞的時間大約幾分鐘 time (minutes) of reading news on the phone per day ],B: 手機使用行為 Cellular phone usage [B4. 一週用手機叫餐買食物飲料的次數 number of ordering food/drinks per week in average],B: 手機使用行為 Cellular phone usage [B5. 一週用手機叫車搭車的次數 number of calling taxi per week in average],B: 手機使用行為 Cellular phone usage [B6: 手機剩下%多少電力時會感到焦慮(請填0-100的數值) how many % of power left may feel nervous],"C: 手機使用習慣 tendency of using phone [C1. 我曾因長時間玩手機遊戲而眼睛酸澀、肌肉痠痛，或有其他身體不適 I have often experienced dry/sore eyes, muscle aches, or other physical discomforts from playing mobile games for a long duration.a]","C: 手機使用習慣 tendency of using phone [C2. 我常常原本沒有打算玩手機遊戲，卻會忍不住拿起手機來玩一下（滑一下） I often do not plan on playing mobile games, but cannot resist picking up my phone to play (swipe).]",C: 手機使用習慣 tendency of using phone [C3. 在過去3個月裡，我感覺需要更常玩手機遊戲，或玩更久的時間才覺得我玩夠了 I find that I am spending more time playing mobile games],"C: 手機使用習慣 tendency of using phone [C4. 如果不能玩手機遊戲，我會覺得靜不下心，感到很煩躁 If I cannot play a mobile game, I feel restless and irritable.]",總時間
798,女,2002,11. 射手座(11/23-12/21) Sagittarius,文學院College of Liberal Arts,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,295,159,28,278,292,180,30,10,0,0,30,2不符合 disagree,2不符合 disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,370.78
799,女,2002,11. 射手座(11/23-12/21) Sagittarius,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,2. 有限制不是吃到飽 limited data,111,202,131,297,269,20,60,5,0,0,10,3符合 agree,3符合 agree,2不符合 disagree,1極不符合 extremely disagree,233.28
800,男,2002,11. 射手座(11/23-12/21) Sagittarius,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,5. 三年以上未滿四年 > 3 years less than 4 years,1. 吃到飽沒上限 unlimited data,608,267,64,297,277,120,40,20,0,2,20,2不符合 disagree,2不符合 disagree,2不符合 disagree,2不符合 disagree,205.88
801,女,2002,11. 射手座(11/23-12/21) Sagittarius,我不是台師大學生 Not NTNU student,5. 難以捉摸 Hart to say and unstable,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,236,101,20,277,177,0,60,10,2,0,20,2不符合 disagree,3符合 agree,3符合 agree,2不符合 disagree,193.64
802,女,2002,11. 射手座(11/23-12/21) Sagittarius,我不是台師大學生 Not NTNU student,4. 內外雙極 In-outward polarized,FALSE,2. 偶而參與 occasionally involve,1稍微有一點落後其他同學 below average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,三星SAMSUNG,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,111,52,33,30,166,180,20,10,0,0,40,2不符合 disagree,3符合 agree,2不符合 disagree,2不符合 disagree,140.2
803,女,2002,11. 射手座(11/23-12/21) Sagittarius,我不是台師大學生 Not NTNU student,4. 內外雙極 In-outward polarized,FALSE,3. 積極參與 highly involve,3比其他同學稍好些 above average,L4: 學校宿舍 live in school's dorm,歐寶OPPO,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,300,-,-,600+,300+,180,120,20,1,1,2,2不符合 disagree,3符合 agree,2不符合 disagree,1極不符合 extremely disagree,156.9
804,男,2002,11. 射手座(11/23-12/21) Sagittarius,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L2: 住在自己家裡(沒有與父母住在一起) live in home without parents,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,45,181,45,186,321,20,200,5,6,0,30,2不符合 disagree,3符合 agree,2不符合 disagree,2不符合 disagree,191.49
805,女,2002,11. 射手座(11/23-12/21) Sagittarius,文學院College of Liberal Arts,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,2. 有限制不是吃到飽 limited data,186,138,73,179,311,60,60,30,1,0,60,3符合 agree,3符合 agree,3符合 agree,2不符合 disagree,368.94
806,女,2002,11. 射手座(11/23-12/21) Sagittarius,管理學院College of Management,1. 內向安靜 Introvert and gentle,806,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,歐寶OPPO,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,246,144,61,254,220,30,60,10,2,0,30,3符合 agree,3符合 agree,2不符合 disagree,2不符合 disagree,312.99
807,男,2002,11. 射手座(11/23-12/21) Sagittarius,教育學院College of Education,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,653,222,100,382,427,30,60,30,0,0,20,3符合 agree,4非常符合 extremely agree,3符合 agree,3符合 agree,224.59
808,女,2002,11. 射手座(11/23-12/21) Sagittarius,我不是台師大學生 Not NTNU student,3. 外向活潑 Outward and active,FALSE,3. 積極參與 highly involve,1稍微有一點落後其他同學 below average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,914,588,75,860,886,10,344,10,0,5,10,3符合 agree,3符合 agree,2不符合 disagree,3符合 agree,1052.12
809,女,2002,11. 射手座(11/23-12/21) Sagittarius,我不是台師大學生 Not NTNU student,3. 外向活潑 Outward and active,FALSE,1. 從不參與  never involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,579,147,107,340,300,240,90,10,8,4,18,3符合 agree,4非常符合 extremely agree,2不符合 disagree,3符合 agree,162.38
810,男,2002,11. 射手座(11/23-12/21) Sagittarius,藝術學院College of Arts,5. 難以捉摸 Hart to say and unstable,FALSE,1. 從不參與  never involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,google,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,213,88,66,65,146,60,30,45,0,0,30,3符合 agree,4非常符合 extremely agree,1極不符合 extremely disagree,2不符合 disagree,477.13
811,女,2002,11. 射手座(11/23-12/21) Sagittarius,教育學院College of Education,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,歐寶OPPO,1. 半年內 within an half year,2. 有限制不是吃到飽 limited data,300左右,159,79,203,223,0,120,30,0,0,40,2不符合 disagree,3符合 agree,2不符合 disagree,2不符合 disagree,282.68
812,女,2002,11. 射手座(11/23-12/21) Sagittarius,教育學院College of Education,1. 內向安靜 Introvert and gentle,812,3. 積極參與 highly involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,256,108,99,303,350,125,35,0,2,0,20,4非常符合 extremely agree,4非常符合 extremely agree,2不符合 disagree,3符合 agree,311.92
813,女,2002,11. 射手座(11/23-12/21) Sagittarius,管理學院College of Management,1. 內向安靜 Introvert and gentle,813,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,臉書登不進去了,257,204,339,386,0,60,20,0,0,30,2不符合 disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,1328.79
814,女,2002,11. 射手座(11/23-12/21) Sagittarius,教育學院College of Education,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,509,287,123,322,328,180,60,20,0,0,35,3符合 agree,4非常符合 extremely agree,3符合 agree,3符合 agree,360.64
815,女,2003,11. 射手座(11/23-12/21) Sagittarius,管理學院College of Management,3. 外向活潑 Outward and active,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,2. 有限制不是吃到飽 limited data,15,538,95,924,939,6,3,30,4,0,10,3符合 agree,2不符合 disagree,2不符合 disagree,2不符合 disagree,244.11
816,男,2003,11. 射手座(11/23-12/21) Sagittarius,理學院College of Science,3. 外向活潑 Outward and active,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,192,304,53,149,117,180,0,10,0,0,5,1極不符合 extremely disagree,2不符合 disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,133.94
817,女,2003,11. 射手座(11/23-12/21) Sagittarius,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,7. 五年以上 > 5 years and more,1. 吃到飽沒上限 unlimited data,690,39,10,189,189,120,30,0,0,0,60,2不符合 disagree,2不符合 disagree,2不符合 disagree,3符合 agree,492.98
818,女,2003,11. 射手座(11/23-12/21) Sagittarius,我不是台師大學生 Not NTNU student,4. 內外雙極 In-outward polarized,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,1. 半年內 within an half year,1. 吃到飽沒上限 unlimited data,253,196,70,85,87,60,120,30,0,0,30,2不符合 disagree,3符合 agree,3符合 agree,3符合 agree,349.62
819,女,2003,11. 射手座(11/23-12/21) Sagittarius,教育學院College of Education,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,1. 半年內 within an half year,1. 吃到飽沒上限 unlimited data,100多個,快200個,20,400,400多,1440,1440,15,2,0,60,3符合 agree,4非常符合 extremely agree,3符合 agree,2不符合 disagree,219.32
820,女,2003,11. 射手座(11/23-12/21) Sagittarius,管理學院College of Management,4. 內外雙極 In-outward polarized,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,149,30,24,172,153,240,250,20,0,0,10,2不符合 disagree,3符合 agree,2不符合 disagree,2不符合 disagree,390.18
821,男,2003,11. 射手座(11/23-12/21) Sagittarius,管理學院College of Management,2. 中性平衡 Balance and equal,FALSE,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,1. 半年內 within an half year,1. 吃到飽沒上限 unlimited data,322,259,66,361,357,10,240,20,0,0,10,3符合 agree,3符合 agree,2不符合 disagree,2不符合 disagree,325.2
822,女,2003,11. 射手座(11/23-12/21) Sagittarius,我不是台師大學生 Not NTNU student,3. 外向活潑 Outward and active,FALSE,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,739,304,140,424,487,20,200,10,2,0,30,3符合 agree,4非常符合 extremely agree,3符合 agree,2不符合 disagree,355.19
823,男,2003,11. 射手座(11/23-12/21) Sagittarius,教育學院College of Education,2. 中性平衡 Balance and equal,FALSE,3. 積極參與 highly involve,3比其他同學稍好些 above average,L4: 學校宿舍 live in school's dorm,紅米,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,285,133,72,197,277,0,10,10,0,0,40,3符合 agree,3符合 agree,1極不符合 extremely disagree,1極不符合 extremely disagree,232.28
824,女,2003,11. 射手座(11/23-12/21) Sagittarius,理學院College of Science,5. 難以捉摸 Hart to say and unstable,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,7. 五年以上 > 5 years and more,1. 吃到飽沒上限 unlimited data,284,121,60,252,503,0,30,10,0,0,4,2不符合 disagree,2不符合 disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,228.31
825,女,1992,12. 摩羯座(12/22-1/20) Capricorn,科技學院College of Technology and Engineering,2. 中性平衡 Balance and equal,FALSE,3. 積極參與 highly involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,1000,614,50,100,200,0,480,5,1,0,50,3符合 agree,3符合 agree,2不符合 disagree,2不符合 disagree,408.71
826,女,1993,12. 摩羯座(12/22-1/20) Capricorn,國際與僑教學院College of International Studies and Social Sciences,5. 難以捉摸 Hart to say and unstable,FALSE,1. 從不參與  never involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,Pixel,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,335,449,71,65,115,0,120,60,0,0,25,3符合 agree,4非常符合 extremely agree,1極不符合 extremely disagree,2不符合 disagree,185.67
827,女,1995,12. 摩羯座(12/22-1/20) Capricorn,管理學院College of Management,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,541,162,52,159,255,120,15,20,0,4,20,3符合 agree,2不符合 disagree,2不符合 disagree,2不符合 disagree,202.76
828,女,1995,12. 摩羯座(12/22-1/20) Capricorn,我不是台師大學生 Not NTNU student,4. 內外雙極 In-outward polarized,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,7. 五年以上 > 5 years and more,1. 吃到飽沒上限 unlimited data,754,303,52,434,1006,180,180,30,1,0,3,4非常符合 extremely agree,4非常符合 extremely agree,3符合 agree,2不符合 disagree,317.1
829,男,1995,12. 摩羯座(12/22-1/20) Capricorn,國際與僑教學院College of International Studies and Social Sciences,1. 內向安靜 Introvert and gentle,829,1. 從不參與  never involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,華碩ASUS,6. 四年以上上未滿五年 > 4 years less than 5 years,1. 吃到飽沒上限 unlimited data,449,212,50,115,419,120,30,30,0,0,60,3符合 agree,4非常符合 extremely agree,3符合 agree,4非常符合 extremely agree,229.45
830,女,1996,12. 摩羯座(12/22-1/20) Capricorn,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,1. 半年內 within an half year,1. 吃到飽沒上限 unlimited data,不知道,很多,很多,約200,約200,240,240,10,4,0,30,1極不符合 extremely disagree,3符合 agree,3符合 agree,2不符合 disagree,412.12
831,男,1997,12. 摩羯座(12/22-1/20) Capricorn,我不是台師大學生 Not NTNU student,1. 內向安靜 Introvert and gentle,831,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L2: 住在自己家裡(沒有與父母住在一起) live in home without parents,索尼SONY,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,100,50,30,76,65,40,60,20,2,1,20,1極不符合 extremely disagree,3符合 agree,2不符合 disagree,1極不符合 extremely disagree,189.94
832,女,1997,12. 摩羯座(12/22-1/20) Capricorn,管理學院College of Management,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,華為HUAWEI,5. 三年以上未滿四年 > 3 years less than 4 years,2. 有限制不是吃到飽 limited data,757,120,10,199,211,0,20,20,0,1,9,2不符合 disagree,2不符合 disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,269.29
833,女,1998,12. 摩羯座(12/22-1/20) Capricorn,管理學院College of Management,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L4: 學校宿舍 live in school's dorm,realme,3. 一年以上未滿兩年 > 1 year less than 2 years,2. 有限制不是吃到飽 limited data,49,72,31,293,289,10,0,15,0,0,15,3符合 agree,1極不符合 extremely disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,478.16
834,女,1998,12. 摩羯座(12/22-1/20) Capricorn,我不是台師大學生 Not NTNU student,5. 難以捉摸 Hart to say and unstable,FALSE,3. 積極參與 highly involve,4在課業上我應該算是很厲害的 excellent and outstanding,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,2. 有限制不是吃到飽 limited data,3500,20,5,800,1000,10,30,30,0,0,20,3符合 agree,4非常符合 extremely agree,3符合 agree,2不符合 disagree,448.81
835,男,1999,12. 摩羯座(12/22-1/20) Capricorn,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,3. 預付卡或臨時卡 Prepaid SIM card,500+,200+,50+,109,134,0,80,60,1,0,1,2不符合 disagree,2不符合 disagree,2不符合 disagree,2不符合 disagree,203.58
836,女,2000,12. 摩羯座(12/22-1/20) Capricorn,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,三星SAMSUNG,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,417,103,36,256,885,120,90,10,0,0,30,4非常符合 extremely agree,3符合 agree,3符合 agree,2不符合 disagree,401.49
837,女,2000,12. 摩羯座(12/22-1/20) Capricorn,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,100多,250,57,37,86,200,90,20,3,0,15,3符合 agree,2不符合 disagree,2不符合 disagree,2不符合 disagree,347.12
838,女,2000,12. 摩羯座(12/22-1/20) Capricorn,其它,1. 內向安靜 Introvert and gentle,838,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,200-300,99,28,250,350,100,300,10,1,0,1,2不符合 disagree,2不符合 disagree,2不符合 disagree,2不符合 disagree,285.69
839,女,2000,12. 摩羯座(12/22-1/20) Capricorn,文學院College of Liberal Arts,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L2: 住在自己家裡(沒有與父母住在一起) live in home without parents,宏電HTC,6. 四年以上上未滿五年 > 4 years less than 5 years,1. 吃到飽沒上限 unlimited data,242,196,53,230,460,60,120,60,0,0,10,3符合 agree,3符合 agree,2不符合 disagree,2不符合 disagree,135.31
840,女,2000,12. 摩羯座(12/22-1/20) Capricorn,理學院College of Science,2. 中性平衡 Balance and equal,FALSE,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,648,416,127,750,531,0,90,0,3,0,20,1極不符合 extremely disagree,3符合 agree,1極不符合 extremely disagree,1極不符合 extremely disagree,120.9
841,女,2000,12. 摩羯座(12/22-1/20) Capricorn,我不是台師大學生 Not NTNU student,1. 內向安靜 Introvert and gentle,841,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,100,175,181,200,200,120,120,240,1,0,20,3符合 agree,3符合 agree,3符合 agree,3符合 agree,219.42
842,女,2001,12. 摩羯座(12/22-1/20) Capricorn,教育學院College of Education,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,2. 有限制不是吃到飽 limited data,1000多,400,170,700,600,300,60,20,0,0,50,3符合 agree,4非常符合 extremely agree,3符合 agree,3符合 agree,183.62
843,男,2001,12. 摩羯座(12/22-1/20) Capricorn,我不是台師大學生 Not NTNU student,5. 難以捉摸 Hart to say and unstable,FALSE,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,660,257,64,274,418,40,20,20,4,6,30,2不符合 disagree,3符合 agree,3符合 agree,2不符合 disagree,414.88
844,女,2001,12. 摩羯座(12/22-1/20) Capricorn,我不是台師大學生 Not NTNU student,1. 內向安靜 Introvert and gentle,844,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,400多,300多,30幾,153,216,0,0,10,0,0,20,3符合 agree,3符合 agree,2不符合 disagree,2不符合 disagree,324.78
845,女,2001,12. 摩羯座(12/22-1/20) Capricorn,教育學院College of Education,4. 內外雙極 In-outward polarized,FALSE,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,華為HUAWEI,6. 四年以上上未滿五年 > 4 years less than 5 years,1. 吃到飽沒上限 unlimited data,＞1500,＞300,＞100,＞1200,＞500,0,60,20,0,0,30,3符合 agree,3符合 agree,1極不符合 extremely disagree,1極不符合 extremely disagree,190.09
846,女,2001,12. 摩羯座(12/22-1/20) Capricorn,教育學院College of Education,其它,FALSE,3. 積極參與 highly involve,1稍微有一點落後其他同學 below average,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,148,178,98,856,714,0,40,10,0,0,10,3符合 agree,4非常符合 extremely agree,1極不符合 extremely disagree,1極不符合 extremely disagree,423.39
847,女,2001,12. 摩羯座(12/22-1/20) Capricorn,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,FALSE,1. 從不參與  never involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,Google Pixel,1. 半年內 within an half year,2. 有限制不是吃到飽 limited data,52,30,2,230,344,0,60,20,0,0,10,2不符合 disagree,3符合 agree,2不符合 disagree,2不符合 disagree,280.5
848,女,2001,12. 摩羯座(12/22-1/20) Capricorn,管理學院College of Management,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,小米MI,5. 三年以上未滿四年 > 3 years less than 4 years,2. 有限制不是吃到飽 limited data,188,121,77,96,115,60,240,120,0,0,60,2不符合 disagree,3符合 agree,2不符合 disagree,3符合 agree,515.78
849,女,2001,12. 摩羯座(12/22-1/20) Capricorn,運動與休閒學院College of Sports and Recreation,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,882,398,138,505,491,30,100,10,1,0,20,3符合 agree,3符合 agree,2不符合 disagree,2不符合 disagree,1311.56
850,男,2001,12. 摩羯座(12/22-1/20) Capricorn,文學院College of Liberal Arts,2. 中性平衡 Balance and equal,FALSE,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,6. 四年以上上未滿五年 > 4 years less than 5 years,1. 吃到飽沒上限 unlimited data,156,269,111,214,256,50,45,10,0,0,1,2不符合 disagree,2不符合 disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,616.93
851,男,2001,12. 摩羯座(12/22-1/20) Capricorn,我不是台師大學生 Not NTNU student,5. 難以捉摸 Hart to say and unstable,FALSE,3. 積極參與 highly involve,4在課業上我應該算是很厲害的 excellent and outstanding,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,500,100,200,550,500,60,120,30,2,0,20,3符合 agree,3符合 agree,2不符合 disagree,2不符合 disagree,225.17
